# Seed:     444444
#
#   a      e        i        node     peri     Manom      resamp       q        r        M      m_rand H_rand color flag delta    m_int   H_int eff   RA(H)     DEC    delta_ra delt_dec Surv.  Comments
#
# flag: >0: detected; >2: characterized; 0 mod(2): tracked
# Survey: name of the block
# delta_ra: distance from center of pointing [arcsec]
# delt_dec: distance from center of pointing [arcsec]
#
  48.293  0.370    0.057      63.2      53.3     324.8      7.8   30.411   36.293  327.868   24.245   8.64  0.00  4   35.307   24.282   8.68 0.83  3.18600  17.7897  3.33946 -0.92524 2015BD.eff res
  48.221  0.370    0.057      42.2     191.0       7.7      8.6   30.365   30.383   -1.534   24.164   9.28  0.70  3   29.400   23.269   8.39 0.55 15.10956 -17.5044  3.61153  1.02436 L4k-smooth res
  48.491  0.370    0.057     186.4     213.2      10.1      6.3   30.535   30.546    1.403   23.663   8.82  0.65  4   29.558   22.806   7.97 0.75  2.68879  15.6374  3.78505 -1.20519 L4v-smooth res
  47.819  0.370    0.057     274.5      73.3      35.4      6.2   30.112   34.306   26.558   24.523   9.19  0.85  2   33.317   23.536   8.20 0.25  2.80688  16.2556  3.48100 -1.07614 L4v-smooth res
  48.087  0.370    0.057     103.3      77.3      33.0      9.2   30.280   33.703   23.610   23.712   8.37  0.61  4   32.739   23.266   7.92 0.62 15.33833 -18.3434  3.29887  0.87169 L4j-smooth res
  48.374  0.370    0.057     286.8     129.2     355.1      8.0   30.461   30.482  358.142   23.136   8.27  0.00  4   29.501   23.133   8.27 0.87  3.29887  18.2926  3.81499 -1.02031 2015BC.eff res
  48.514  0.370    0.057     135.9     313.8     340.4      2.9   30.549   32.335  343.446   24.336   9.21  0.00  4   31.356   24.421   9.30 0.71  3.35691  18.4005  3.63771 -0.95488 2015BC.eff res
  48.405  0.370    0.057     299.3     191.9      63.8      5.5   30.481   43.800   54.606   23.463   6.99  0.33  3   42.823   22.977   6.51 0.77 15.03853 -17.2624  2.67381  0.77618 L4k-smooth res
  47.837  0.370    0.057     209.8     265.8      17.0      4.2   30.123   30.604    8.446   23.751   8.89  0.41  3   29.624   23.291   8.43 0.68  9.15750  16.3065  3.80555  1.16552 L5c-smooth res
  48.336  0.370    0.057     245.4     265.0      49.4      4.3   30.438   38.910   40.181   24.089   8.13  0.40  4   37.929   24.199   8.24 0.59 15.09317 -17.4468  2.96640  0.84719 L4k-smooth res
  48.103  0.370    0.057     343.4     261.0       2.0      5.2   30.291   30.660   -7.372   23.255   8.35  0.57  3   29.675   22.749   7.84 0.78 15.00830 -17.1339  3.62672  1.05906 L4j-smooth res
  48.035  0.370    0.057     149.0     340.9     324.2      4.8   30.248   40.131  315.382   24.145   8.13  0.44  4   39.141   23.873   7.86 0.59  2.83147  16.2578  3.06333 -0.94022 L4v-smooth res
  48.761  0.370    0.057      37.5      54.3     339.3      4.1   30.705   32.734  342.332   23.880   8.71  0.00  4   31.755   23.959   8.78 0.82  3.33328  18.3880  3.60313 -0.95160 2015BC.eff res
  48.085  0.370    0.057      25.0     188.2      18.2      4.0   30.280   30.815    8.918   23.953   9.04  0.75  4   29.817   23.097   8.18 0.64 15.40499 -18.6681  3.67194  0.94732 L4k-smooth res
  47.985  0.370    0.057     216.7     248.7     331.9      4.5   30.217   34.014  334.937   24.289   8.96  0.00  4   33.031   24.479   9.15 0.82  3.27328  18.1288  3.51740 -0.94956 2015BD.eff res
  48.267  0.370    0.057     233.8     337.1      19.5      5.0   30.394   31.101   10.252   22.659   7.71  0.59  4   30.101   22.005   7.05 0.87 15.45798 -18.8303  3.65835  0.92801 L4k-smooth res
  48.447  0.370    0.057     179.2     160.1      34.0      6.3   30.507   37.966   37.040   23.593   7.77  0.00  4   36.990   23.658   7.83 0.85  3.42254  18.6539  3.19460 -0.82032 2015BC.eff res
  48.039  0.370    0.057     321.7     175.3       7.8      2.0   30.250   30.257   -0.698   24.133   9.32  0.77  3   29.276   23.207   8.39 0.53  9.17716  16.2862  3.83871  1.17971 L5c-smooth res
  48.136  0.370    0.057     118.0     266.4      14.6      4.6   30.312   30.541    5.841   23.285   8.41  0.71  4   29.563   22.570   7.69 0.82  2.36034  14.0385  3.70398 -1.26846 L4v-smooth res
